产品代码,产品名称,风险等级,产品状态,销售状态
CYQZDJQGS14DA,中银理财-14天中短久期最短持有期固收理财产品,中低风险,存续期内,在售
CYQXYJXGS14DA,中银理财-14天信用精选最短持有期固收理财产品,中低风险,存续期内,在售
CYQZDJQGS30DA,中银理财-30天中短久期最短持有期固收理财产品,中低风险,存续期内,在售
CYQZDJQGS2MA,中银理财-60天中短久期最短持有期固收理财产品,中低风险,存续期内,在售
CYQZDJQGS90DA,中银理财-90天中短久期最短持有期固收理财产品,中低风险,存续期内,在售
CYQESGGS30DA,中银理财-ESG优享30天持有期固收理财产品,中低风险,存续期内,在售
CYQESGGS30DB,中银理财-ESG优享30天持有期固收理财产品,中低风险,存续期内,在售
CYQESGGS30DC,中银理财-ESG优享30天持有期固收理财产品,中低风险,存续期内,在售
CYQESGGS30D2A,中银理财-ESG优享30天持有期固收理财产品2号,中低风险,存续期内,在售
CYQESGGS30D2B,中银理财-ESG优享30天持有期固收理财产品2号,中低风险,存续期内,在售
CYQESG90DA,中银理财-ESG优享90天持有期固收增强理财产品,中低风险,存续期内,在售
CYQESG90DB,中银理财-ESG优享90天持有期固收增强理财产品,中低风险,存续期内,在售
CYQESGYXGS14DA,中银理财-ESG优享固收14天持有期,中低风险,存续期内,在售
CYQESGYX30D3A,中银理财-ESG优享固收30天持有期3号,中低风险,存续期内,在售
CYQESGYX60DA,中银理财-ESG优享固收60天持有期,中低风险,存续期内,在售
CYQESGYXGS90DA,中银理财-ESG优享固收90天持有期,中低风险,存续期内,在售
CYQESGYXZQ14DA,中银理财-ESG优享固收增强14天持有期,中低风险,存续期内,在售
ESGYXWJRKA,中银理财-ESG优享稳健日开理财产品,中低风险,存续期内,在售
YOUXTT01A,中银理财-优享天添,中低风险,存续期内,在售
AMZYCLZS01,中银理财-债券指数1号（中短期高等级信用债）,中低风险,存续期内,在售
830100,中银理财-债市通,中低风险,存续期内,在售
830100B,中银理财-债市通,中低风险,存续期内,在售
830101,中银理财-债市通2号,中低风险,存续期内,在售
ZYZST03A,中银理财-债市通3号,中低风险,存续期内,在售
AXTTA,中银理财-安享天添,中低风险,存续期内,在售
ZUNXTT01A,中银理财-尊享天天,低风险,存续期内,在售
ZUNXTT01B,中银理财-尊享天天,低风险,存续期内,在售
CYQXCZHYGS7DA,中银理财-新城镇惠盈7天最短持有期固收理财产品,中低风险,存续期内,在售
AMRJYL01,中银理财-日积月累日计划,低风险,存续期内,在售
XXTT01A,中银理财-欣享天添,中低风险,存续期内,在售
XXTT01B,中银理财-欣享天添,中低风险,存续期内,在售
XXTT01C,中银理财-欣享天添,中低风险,存续期内,在售
XXTTZY01A,中银理财-欣享天添增益版,中低风险,存续期内,在售
XXTTJJA,中银理财-欣享天添进阶版,中低风险,存续期内,在售
CYQWX30D1,中银理财-稳享30天持有期,中低风险,存续期内,在售
CYQWX7D1,中银理财-稳享7天持有期,中低风险,存续期内,在售
CYQWX90D1,中银理财-稳享90天持有期,中低风险,存续期内,在售
CYQWFZDJQ14DA,中银理财-稳富中短久期14天持有期,中低风险,存续期内,在售
CYQWFZDJQ30DA,中银理财-稳富中短久期30天持有期,中低风险,存续期内,在售
CYQWFZDJQ7DA,中银理财-稳富中短久期7天持有期,中低风险,存续期内,在售
CYQWFYJ14DA,中银理财-稳富优嘉14天持有期,中低风险,存续期内,在售
CYQWFYJ1MA,中银理财-稳富优嘉1个月持有期,中低风险,存续期内,在售
CYQWFYJ30DA,中银理财-稳富优嘉30天持有期,中低风险,存续期内,在售
CYQWFYJ3MA,中银理财-稳富优嘉3个月持有期,中低风险,存续期内,在售
CYQWFYJ90D2A,中银理财-稳富优嘉90天持有期2号,中低风险,存续期内,在售
CYQWFXYJX14DA,中银理财-稳富信用精选14天持有期,中低风险,存续期内,在售
CYQWFXYJX14D2A,中银理财-稳富信用精选14天持有期2号,中低风险,存续期内,在售
CYQWFXYJX14D8A,中银理财-稳富信用精选14天持有期8号,中低风险,存续期内,在售
CYQWFXYJX14D3A,中银理财-稳富信用精选14天持有期产品3号,中低风险,存续期内,在售
CYQWFXYJX14D4A,中银理财-稳富信用精选14天持有期产品4号,中低风险,存续期内,在售
CYQWFXYJX1MA,中银理财-稳富信用精选1个月持有期,中低风险,存续期内,在售
CYQWFXYJX2MA,中银理财-稳富信用精选2个月持有期,中低风险,存续期内,在售
CYQWFXYJX30DA,中银理财-稳富信用精选30天持有期,中低风险,存续期内,在售
CYQWFXYJX30D2A,中银理财-稳富信用精选30天持有期2号,中低风险,存续期内,在售
CYQWFXYJX30D8A,中银理财-稳富信用精选30天持有期8号,中低风险,存续期内,在售
CYQWFXYJX30D3A,中银理财-稳富信用精选30天持有期产品3号,中低风险,存续期内,在售
CYQWFXYJX30D4A,中银理财-稳富信用精选30天持有期产品4号,中低风险,存续期内,在售
CYQWFXYJX30D5A,中银理财-稳富信用精选30天持有期产品5号,中低风险,存续期内,在售
CYQWFXYJX3M2A,中银理财-稳富信用精选3个月持有期2号,中低风险,存续期内,在售
CYQWFXYJX60DA,中银理财-稳富信用精选60天持有期,中低风险,存续期内,在售
CYQWFXYJX60D4A,中银理财-稳富信用精选60天持有期4号,中低风险,存续期内,在售
CYQWFXYJX7DA,中银理财-稳富信用精选7天持有期产品,中低风险,存续期内,在售
CYQWFXYJX7D2A,中银理财-稳富信用精选7天持有期产品2号,中低风险,存续期内,在售
CYQWFXYJX7D3A,中银理财-稳富信用精选7天持有期产品3号,中低风险,存续期内,在售
CYQWFXYJX7D4A,中银理财-稳富信用精选7天持有期产品4号,中低风险,存续期内,在售
CYQWFXYJX7D5A,中银理财-稳富信用精选7天持有期产品5号,中低风险,存续期内,在售
CYQWFZQXYJX7DA,中银理财-稳富信用精选7天持有期固收增强产品,中低风险,存续期内,在售
CYQWFXYJX90DA,中银理财-稳富信用精选90天持有期,中低风险,存续期内,在售
CYQWFXYJX90D2A,中银理财-稳富信用精选90天持有期2号,中低风险,存续期内,在售
CYQWFXYJX90D3A,中银理财-稳富信用精选90天持有期3号,中低风险,存续期内,在售
WFXYJXRKA,中银理财-稳富信用精选日开,中低风险,存续期内,在售
WFXYJXRK2A,中银理财-稳富信用精选日开2号,中低风险,存续期内,在售
WFXYJXRK3A,中银理财-稳富信用精选日开3号,中低风险,存续期内,在售
WFXYJXRK4A,中银理财-稳富信用精选日开4号,中低风险,存续期内,在售
WFXYJXRK5A,中银理财-稳富信用精选日开5号,中低风险,存续期内,在售
WFXYJXRK06A,中银理财-稳富信用精选日开6号,中低风险,存续期内,在售
WFXYJXDZRK2A,中银理财-稳富信用精选短债日开2号,中低风险,存续期内,在售
WFXYJXDZRKA,中银理财-稳富信用精选短债日开理财产品,中低风险,存续期内,在售
WFXYJXWJRKA,中银理财-稳富信用精选稳健日开理财产品,中低风险,存续期内,在售
WFXYJXCZRKA,中银理财-稳富信用精选纯债日开理财产品,中低风险,存续期内,在售
CYQWFQQPZ60DA,中银理财-稳富全球配置60天持有期,中低风险,存续期内,在售
CYQWFQQPZ7D1A,中银理财-稳富全球配置7天持有期1号,中低风险,存续期内,在售
CYQWFQQPZ7D03A,中银理财-稳富全球配置7天持有期3号,中低风险,存续期内,在售
CYQWFQQ90DA,中银理财-稳富全球配置90天持有期,中低风险,存续期内,在售
CYQWFSZCL90DA,中银理财-稳富双债策略3个月持有期固收理财产品,中低风险,存续期内,在售
CYQWFZQYJ14DA,中银理财-稳富固收增强优嘉14天持有期,中低风险,存续期内,在售
CYQWFZQYJ1MA,中银理财-稳富固收增强优嘉1个月持有期,中低风险,存续期内,在售
CYQWFZQYJ2MA,中银理财-稳富固收增强优嘉2个月持有期,中低风险,存续期内,在售
CYQWFZQYJ30D1A,中银理财-稳富固收增强优嘉30天持有期,中低风险,存续期内,在售
CYQWFZQYJ3MA,中银理财-稳富固收增强优嘉3个月持有期,中低风险,存续期内,在售
WFZQSJ202616,中银理财-稳富固收增强优嘉A202616,中低风险,存续期内,在售
CYQWFZQYXPZ30DA,中银理财-稳富固收增强优选配置30天持有期,中低风险,存续期内,在售
CYQWFZQYXPZ30D02A,中银理财-稳富固收增强优选配置30天持有期02,中低风险,存续期内,在售
CYQWFZQYXPZ360DA,中银理财-稳富固收增强优选配置360天持有期,中低风险,存续期内,在售
CYQWFZQYXPZ60DA,中银理财-稳富固收增强优选配置60天持有期,中低风险,存续期内,在售
CYQWFZQYXPZ90DA,中银理财-稳富固收增强优选配置90天持有期,中低风险,存续期内,在售
