productName,剩余额度,成立日期,productCode,html
稳富信用精选14天持有期,10亿+,CYQWFXYJX14DA,2025-04-24,/4/8065.html
稳富信用精选14天持有期2号,6kw+,CYQWFXYJX14D2A,2025-07-18,/4/8433.html
稳富信用精选14天持有期8号,,CYQWFXYJX14D8A,2026-02-27,/3/9273.html
稳富信用精选14天持有期产品3号,10亿+,CYQWFXYJX14D3A,2025-08-01,/4/8483.html
稳富信用精选14天持有期产品4号,,CYQWFXYJX14D4A,2025-08-22,/4/8583.html
稳富信用精选30天持有期,,CYQWFXYJX30DA,2025-04-02,/4/7953.html
稳富信用精选30天持有期2号,10亿+,CYQWFXYJX30D2A,2025-04-10,/4/7991.html
稳富信用精选30天持有期8号,,CYQWFXYJX30D8A,2026-02-27,/3/9274.html
稳富信用精选30天持有期产品3号,,CYQWFXYJX30D3A,2025-08-08,/4/8507.html
稳富信用精选30天持有期产品4号,,CYQWFXYJX30D4A,2025-08-22,/4/8584.html
稳富信用精选30天持有期产品5号,,CYQWFXYJX30D5A,2025-08-29,/4/8585.html
稳富信用精选7天持有期产品,100亿+,CYQWFXYJX7DA,2025-03-13,/4/7875.html
稳富信用精选7天持有期产品2号,,CYQWFXYJX7D2A,2025-07-25,/4/8456.html
稳富信用精选7天持有期产品3号,10亿+,CYQWFXYJX7D3A,2025-08-08,/4/8508.html
稳富信用精选7天持有期产品4号,,CYQWFXYJX7D4A,2025-08-15,/4/8543.html
稳富信用精选7天持有期产品5号,10亿+,CYQWFXYJX7D5A,2025-08-29,/4/8587.html
稳富信用精选7天持有期固收增强产品,10亿+(很烂),CYQWFZQXYJX7DA,2024-08-28,/4/7105.html
稳富信用精选日开,10亿+,WFXYJXRKA,2025-05-22,/4/8203.html
稳富信用精选日开2号,5kw+,WFXYJXRK2A,2025-06-25,/4/8334.html
稳富信用精选日开3号,100w+(暴涨过),WFXYJXRK3A,2025-08-13,/4/8513.html
稳富信用精选日开4号,10亿+,WFXYJXRK4A,2025-08-27,/4/8655.html
稳富信用精选日开5号,2亿+,WFXYJXRK5A,2025-09-03,/4/8656.html
稳富全球配置30天持有期05,,WFQ30D5G,2026-03-25,/3/9324.html
稳富全球配置7天持有期1号,4kw+,CYQWFQQPZ7D1A,2025-09-05,/4/8582.html
稳富固收增强信用精选14天持有期,100亿+,CYQWFZQXYJX14DA,2025-04-02,/4/7956.html
稳富固收增强信用精选30天持有期,10亿+,CYQWFZQXYJX30DA,2025-03-19,/4/7887.html
稳富固收增强信用精选7天持有期,,CYQWFZQXYJX1WA,2025-07-04,/4/8387.html
稳富固收增强信用精选日开,700w+,WFZQXYJXRKA,2025-07-16,/4/8413.html
稳富固收增强全球配置14天持有期,5亿+,CYQWFZQQQPZ14DA,2025-06-13,/4/8294.html
稳富固收增强全球配置14天持有期2号,,CYQWFZQQQPZ14D2A,2025-09-30,/4/8737.html
稳富固收增强全球配置14天持有期3号,5亿+,CYQWFZQQQPZ14D3A,2025-11-07,/4/8862.html
稳富固收增强全球配置30天持有期,10亿+,CYQWFZQQQPZ30DA,2025-05-15,/4/8164.html
稳富固收增强全球配置30天持有期2号,,CYQWFZQQQPZ30D2A,2025-10-17,/4/8787.html
稳富固收增强全球配置30天持有期4号,,CYQWFZQQQPZ30D4A,2026-01-29,/4/9170.html
稳富固收增强全球配置30天持有期7号,搜不到,WFQQPZ30D7A,2025-12-23,/4/9032.html
稳富固收增强全球配置7天持有期,10亿+,CYQWFZQQQPZ7DA,2025-06-13,/4/8295.html
稳富固收增强全球配置7天持有期2号,,CYQWFZQQQPZ7D2A,2025-09-19,/4/8670.html
稳富固收增强全球配置日开,,WFZQQQPZRKA,2025-07-02,/4/8365.html
稳富固收增强打新策略14天持有期,,CYQWFZQDXCL14DA,2026-01-23,/4/9155.html
稳富固收增强打新策略7天持有期,,CYQWFZQDXCL7DA,2026-01-23,/4/9156.html
稳富固收增强打新策略日开,,WFZQDXCLRKA,2026-03-20,/3/9342.html
稳富固收增强指数轮动策略14天持有期,2kw+,CYQWFZQZSLD14DA,2026-01-30,/4/9176.html
稳富固收增强指数轮动策略30天持有期,,CYQWFZQZSLD30DA,2025-12-19,/4/9036.html
稳富固收增强指数轮动策略7天持有期,,CYQWFZQZSLD7DA,2026-03-13,/3/9310.html
稳富固收增强行业轮动策略14天持有期,,CYQWFZQHYLD14DA,2025-12-19,/4/9035.html
稳富固收增强行业轮动策略30天持有期,2kw+,CYQWFZQHYLD30DA,2025-12-05,/4/8985.html
稳富固收增强行业轮动策略7天持有期,5kw+,CYQWFZQHYLD7DA,2025-12-26,/4/9066.html
稳富信用精选纯债日开理财产品,10亿+,WFXYJXCZRKA,2024-08-29,/4/7210.html
稳富纯债14天持有期,10亿+,CYQWFCZ14DA,2025-03-19,/4/7886.html
稳富纯债7天持有期,8kw+,CYQWFCZ7DA,2025-04-02,/4/7952.html
